code,date,e,n,wqi
BD14,2024-09-01,106.263056,10.458056,54.2885662699933
BD14,2024-10-01,106.263056,10.458056,53.1506176001636
BD14,2024-11-01,106.263056,10.458056,38.8860562157371
BD14,2024-12-01,106.263056,10.458056,46.473455820712
BD14,2025-01-01,106.263056,10.458056,66.9098130604871
BD14,2025-02-01,106.263056,10.458056,38.1684419707706
BD14,2025-03-01,106.263056,10.458056,60.6859680071752
BD14,2025-04-01,106.263056,10.458056,56.6899186205125
BD14,2025-05-01,106.263056,10.458056,37.6076968774878
BD14,2025-06-01,106.263056,10.458056,37.3339312592158
BD15,2024-04-01,106.348056,10.543056,56.5266553663795
BD15,2024-05-01,106.348056,10.543056,52.5142945675459
BD15,2024-06-01,106.348056,10.543056,65.4996249031094
BD15,2024-07-01,106.348056,10.543056,44.0130072621836
BD15,2024-08-01,106.348056,10.543056,66.0280851635014
BD15,2024-09-01,106.348056,10.543056,66.5841460140983
BD15,2024-10-01,106.348056,10.543056,51.9193594803388
BD15,2024-11-01,106.348056,10.543056,38.8051904946207
BD15,2024-12-01,106.348056,10.543056,54.3924636979096
BD15,2025-01-01,106.348056,10.543056,65.2582960582424
BD15,2025-02-01,106.348056,10.543056,38.6238777131317
BD15,2025-03-01,106.348056,10.543056,3.56890476177543
BD15,2025-04-01,106.348056,10.543056,65.4802799553981
BD15,2025-05-01,106.348056,10.543056,66.0260103966997
BD15,2025-06-01,106.348056,10.543056,38.5603598320474
BD16,2024-11-01,106.520278,10.407778,55.7809288041134
BD16,2024-12-01,106.520278,10.407778,39.2051967251689
BD16,2025-01-01,106.520278,10.407778,54.3599922810675
BD16,2025-02-01,106.520278,10.407778,52.5121319111386
BD16,2025-03-01,106.520278,10.407778,54.8662613032208
BD16,2025-04-01,106.520278,10.407778,36.7909022948723
BD16,2025-05-01,106.520278,10.407778,57.9222879717895
BD16,2025-06-01,106.520278,10.407778,57.1008740567707
BD17,2024-11-01,106.504167,10.491667,44.7384136338895
BD17,2024-12-01,106.504167,10.491667,56.5700990712446
BD17,2025-01-01,106.504167,10.491667,53.8119783253171
BD17,2025-02-01,106.504167,10.491667,53.3204657932957
BD17,2025-03-01,106.504167,10.491667,54.1385108866864
BD17,2025-04-01,106.504167,10.491667,52.8793001733241
BD17,2025-05-01,106.504167,10.491667,66.2720625704701
BD17,2025-06-01,106.504167,10.491667,66.6894145890822
BD18,2024-11-01,106.4375,10.422778,56.3563616022708
BD18,2024-12-01,106.4375,10.422778,38.0445603704147
BD18,2025-01-01,106.4375,10.422778,54.9300017612173
BD18,2025-02-01,106.4375,10.422778,54.5142510035155
BD18,2025-03-01,106.4375,10.422778,53.5398619124718
BD18,2025-04-01,106.4375,10.422778,57.0156920836762
BD18,2025-05-01,106.4375,10.422778,36.2520197048037
BD18,2025-06-01,106.4375,10.422778,37.0555803889067
BD2,2023-09-01,106.545278,10.473333,38.4888962173701
BD2,2023-10-01,106.545278,10.473333,38.498002554925
BD2,2023-11-01,106.545278,10.473333,53.3001707242456
BD2,2023-12-01,106.545278,10.473333,52.8935645631303
BD2,2024-01-01,106.545278,10.473333,53.4605125292957
BD2,2024-02-01,106.545278,10.473333,54.0265234043497
BD2,2024-03-01,106.545278,10.473333,36.6978878711488
BD2,2024-04-01,106.545278,10.473333,37.7977822828999
BD2,2024-05-01,106.545278,10.473333,54.0518890530427
BD2,2024-06-01,106.545278,10.473333,66.6209074047461
BD2,2024-07-01,106.545278,10.473333,38.6436489002531
BD2,2024-08-01,106.545278,10.473333,3.65622981021296
BD2,2024-09-01,106.545278,10.473333,39.017078225252
BD2,2024-10-01,106.545278,10.473333,36.7708660005734
BD2,2024-11-01,106.545278,10.473333,53.5180352541809
BD2,2024-12-01,106.545278,10.473333,54.3642543874106
BD2,2025-01-01,106.545278,10.473333,65.8819760491002
BD2,2025-02-01,106.545278,10.473333,36.7355438590255
BD2,2025-03-01,106.545278,10.473333,66.6986103585153
BD2,2025-04-01,106.545278,10.473333,52.7378371494131
BD2,2025-05-01,106.545278,10.473333,37.6744698136488
BD2,2025-06-01,106.545278,10.473333,4.07424953766467
BD7,2023-09-01,106.395278,10.485556,57.2880916859703
BD7,2023-10-01,106.395278,10.485556,38.8786209954479
BD7,2023-11-01,106.395278,10.485556,54.4541358160432
BD7,2023-12-01,106.395278,10.485556,64.5456217188644
BD7,2024-01-01,106.395278,10.485556,54.2532766669707
BD7,2024-02-01,106.395278,10.485556,53.8288003331476
BD7,2024-03-01,106.395278,10.485556,44.6481289828785
BD7,2024-04-01,106.395278,10.485556,37.9772440705858
BD7,2024-05-01,106.395278,10.485556,35.1979780054916
BD7,2024-06-01,106.395278,10.485556,53.1008781775437
BD7,2024-07-01,106.395278,10.485556,38.1271852859866
BD7,2024-08-01,106.395278,10.485556,57.8922888962927
BD7,2024-09-01,106.395278,10.485556,53.9191686205295
BD7,2024-10-01,106.395278,10.485556,37.0149796244571
BD7,2024-11-01,106.395278,10.485556,37.2103751498456
BD7,2024-12-01,106.395278,10.485556,66.8052230845854
BD7,2025-01-01,106.395278,10.485556,52.4140247281536
BD7,2025-02-01,106.395278,10.485556,53.1150562501493
BD7,2025-03-01,106.395278,10.485556,53.5706293862347
BD7,2025-04-01,106.395278,10.485556,52.7232140467066
BD7,2025-05-01,106.395278,10.485556,57.0907735582595
BD7,2025-06-01,106.395278,10.485556,36.9558357098021
BD8,2023-09-01,106.370278,10.364722,53.8259557484874
BD8,2023-10-01,106.370278,10.364722,64.9802393971596
BD8,2023-11-01,106.370278,10.364722,65.9120991188027
BD8,2023-12-01,106.370278,10.364722,65.2373497322568
BD8,2024-01-01,106.370278,10.364722,67.1641553909665
BD8,2024-02-01,106.370278,10.364722,66.0221426880119
BD8,2024-03-01,106.370278,10.364722,54.4335391623429
BD8,2024-04-01,106.370278,10.364722,45.1041118190827
BD8,2024-05-01,106.370278,10.364722,38.2056877284907
BD8,2024-06-01,106.370278,10.364722,36.8690667625405
BD8,2024-07-01,106.370278,10.364722,47.4388636213337
BD8,2024-08-01,106.370278,10.364722,59.9998992611536
BD8,2024-09-01,106.370278,10.364722,52.5680747371182
BD8,2024-10-01,106.370278,10.364722,53.5073749164842
BD8,2024-11-01,106.370278,10.364722,52.261326878298
BD8,2024-12-01,106.370278,10.364722,53.9649696706786
BD8,2025-01-01,106.370278,10.364722,35.3695162649317
BD8,2025-02-01,106.370278,10.364722,65.0819309967437
BD8,2025-03-01,106.370278,10.364722,66.3186224098164
BD8,2025-04-01,106.370278,10.364722,65.0433453087938
BD8,2025-05-01,106.370278,10.364722,35.8611660577915
BD8,2025-06-01,106.370278,10.364722,57.8144757764792
C1-1,2024-11-01,106.323333,11.323333,52.7074255818238
C1-1,2024-12-01,106.323333,11.323333,64.506642636053
C1-1,2025-01-01,106.323333,11.323333,63.7978987472283
C1-1,2025-02-01,106.323333,11.323333,65.0503478490203
C1-1,2025-03-01,106.323333,11.323333,50.6278599988137
C1-1,2025-04-01,106.323333,11.323333,52.4846722285744
C1-1,2025-05-01,106.323333,11.323333,44.5409900813906
C1-1,2025-06-01,106.323333,11.323333,52.7872174068201
C2-1,2024-11-01,106.25,11.373333,65.063561231027
C2-1,2024-12-01,106.25,11.373333,64.0499560148758
C2-1,2025-01-01,106.25,11.373333,64.4918344790734
C2-1,2025-02-01,106.25,11.373333,62.2395621129695
C2-1,2025-03-01,106.25,11.373333,36.5898029347901
C2-1,2025-04-01,106.25,11.373333,64.4905730776308
C2-1,2025-05-01,106.25,11.373333,51.6664015035672
C2-1,2025-06-01,106.25,11.373333,64.9440271970058
C3-1,2024-11-01,106.2,11.44,54.1586020808324
C3-1,2024-12-01,106.2,11.44,64.2083187117853
C3-1,2025-01-01,106.2,11.44,64.6230011767531
C3-1,2025-02-01,106.2,11.44,64.5594631362762
C3-1,2025-03-01,106.2,11.44,54.5817610455784
C3-1,2025-04-01,106.2,11.44,64.8617212324024
C3-1,2025-05-01,106.2,11.44,44.6884200296763
C3-1,2025-06-01,106.2,11.44,51.8222894476114
CLCB1,2023-04-01,105.15576,9.75633,64.1784751194644
CLCB1,2023-05-01,105.15576,9.75633,65.1154245665121
CLCB1,2023-06-01,105.15576,9.75633,51.5961246173831
CLCB1,2023-07-01,105.15576,9.75633,54.0471207984384
CLCB1,2023-08-01,105.15576,9.75633,62.061415651494
CLCB1,2023-09-01,105.15576,9.75633,61.2012112548143
CLCB1,2023-10-01,105.15576,9.75633,64.2097623580805
CLCB1,2023-11-01,105.15576,9.75633,47.5943635907298
CLCB1,2023-12-01,105.15576,9.75633,48.0525936584423
CLCB1,2024-01-01,105.15576,9.75633,50.3465100273368
CLCB1,2024-02-01,105.15576,9.75633,47.5208930380632
CLCB1,2024-03-01,105.15576,9.75633,34.0647647194754
CLCB1,2024-04-01,105.15576,9.75633,52.591528128407
CLCB1,2024-05-01,105.15576,9.75633,53.1464074166826
CLCB1,2024-06-01,105.15576,9.75633,54.935227122201
CLCB1,2024-07-01,105.15576,9.75633,50.9810409014032
CLCB1,2024-08-01,105.15576,9.75633,53.1548566296447
CLCB1,2024-09-01,105.15576,9.75633,34.5508468571336
CLCB1,2024-10-01,105.15576,9.75633,52.1975948289883
CLCB1,2024-11-01,105.15576,9.75633,52.1424735276219
CLCB1,2024-12-01,105.15576,9.75633,37.2549342094254
CLCB1,2025-01-01,105.15576,9.75633,54.9178252736323
